Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
"Associate Director, Statistics",$140K - $225K (Employer est.),"The primary responsibilities of this position are to provide statistical consulting to clients in the biotech/pharmaceutical industry in their drug development programs with a focus on protocol/study design, analysis planning, regulatory submission strategies, regulatory communication, mento ring of other statisticians in generating analyses for clinical studies and regulatory submissions and assist with business proposals. This position assumes a supervision responsibility on statistical personnel and job training.

Essential Job Functions:
Provides statistical consulting to clinical study design.
Reviews study protocols and writes statistical sections.
Conducts sample size and power calculations.
Proposes randomization methods and designs.",2.8,"WuXi AppTec
2.8",California,10000+ Employees,2000,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,-1
Data Scientist/Fraud/Corruption Data Analyst - Department of Justice,$140K - $225K (Employer est.),"Cambio Consulting Group LLC is seeking to hire a full-time Data Scientist/Fraud/Corruption data analytics for a contract with the Criminal Division of the U.S. Department of Justice. Must have a minimum of a Bachelor's Degree and 5+ years of experience.
Must have good understanding in building data analytics programs and programming languages: SQL, Excel, SAS, Python, R, C++ or Java.
Working closely with US attorneys, FBI agents, and forensic accountants, the Data Scientist will pull, normalize, and smash data from multiple data sources (including government, external, and corporation accounting systems), develop and apply learning algorithms to assist in the analysis of the data, and build user interface and user workflows for attorneys and agents to gain insight.",-1,Cambio Consulting Group,Remote,-1,-1,-1,-1,-1,-1,-1
"Manager, Data Science",$140K - $225K (Employer est.),"Our Mission
As the world’s number 1 job site*, our mission is to help people get jobs. We strive to cultivate an inclusive and accessible workplace where all people feel comfortable being themselves. We're looking to grow our teams with more people who share our enthusiasm for innovation and creating the best experience for job seekers.
(*comScore Total Visits, September 2022)
Day to Day
The Job Seeker Journey team owns products that are integral to every single step of Job Seeker’s journey on Indeed. Our goal is to keep every job seeker connected through a variety of world class experiences. We achieve this by employing personalized campaigns to precisely engage every job seeker, offering top notch mobile and desktop frontend experience, and utilizing state of the art massaging technology to connect job seekers with employers. Journey team is on an exciting transformational period of time to integrate machine learning in every single step of the experience, to create consistent, engaging and secure experiences that match job seeker needs. The broader Journey team currently consists of Software Engineers, UX Designers, and Product Managers based in both North America and Asian Pacific regions.",4.2,"Indeed
4.2",Remote,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),-1
SDA & Data Fusion Systems Program Manager -4016,$140K - $225K (Employer est.),"Job Title: SDA & Data Fusion Systems Program Manager -4016
Job Location: Colorado Springs, CO 80914
Job Summary
Galapagos Federal Systems LLC is looking for an enthusiastic, well-qualified individual to fill Space Domain Awareness (SDA) and Data Fusion Systems Program Manager supporting the Space Domain Awareness (SDA) Analytics and Artificial Intelligence (AI) squadron within the SDA Acquisition Delta (SSC/SZG). This position supplies Advisory and Assistance Services (A&AS) support moving science and technology efforts to real-world execution. The Sensor Data Fusion branch is executing sensor communication upgrades and system of systems integration and automation projects to prototype and field the next-generation Space Domain Awareness network and command and control systems.",5.0,"Galapagos Federal Systems, LLC
5.0","Colorado Springs, CO",51 to 200 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,-1
Data Scientist,$140K - $225K (Employer est.),"At Fulcrum, we provide cutting-edge data science consulting and software solutions to help companies solve challenging business problems. Through the utilization of our innovative products and dedicated team, clients are able to operate more efficiently, manage risk, and make informed business decisions every day. Fulcrum Analytics has stood at the forefront of data, analytics, and innovative software for over 25 years, offering sophisticated solutions, groundbreaking technologies, and winning strategies that help companies achieve their targeted results.
Role Description:
The Data Scientist role is expected to develop analytical, statistical, and machine learning solutions to client business problems. The Data Scientist will have a number of responsibilities, including:
Extract and manipulate data from various sources (databases, files, APIs, etc.); requires knowledge of how to deal with the inherent structure of the data.",-1,Fulcrum Analytics,Remote,-1,-1,-1,-1,-1,-1,-1
Sr. Data Analyst,$140K - $225K (Employer est.),"Minimum 9 years of experience in global organizations as a Data Analyst.
Proficiency in Data Analysis, with working experience in SQL and relational databases
Strong communication skills, both verbal and written; as well as work in an international team setting.
Have strong reasoning skills, logical deduction and apply to data analysis
Collaborate effectively across a variety of IT and Business groups, across regions and roles.
Present and be able to tell a story with the data analysis/reporting
Required Skills:",3.9,"Zen & Art
3.9","New York, NY",501 to 1000 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD),-1
Artificial Intelligence Engineer,$140K - $225K (Employer est.),"Job Role:- OCTO-Artificial Intelligence Engineer (718804)
Location:- 200 I street SE Washington DC 20003 (ONSITE)
Pay Rate:- $105/hr on W2
Client:- District of Columbia
Complete Description:
The position functions as an Information Technology Specialist who serves as an AI Engineer responsible for establishing and maintaining a scalable infrastructure to support the deployment and operations of AI applications. This includes working with DC Government agencies to understand the required scale and expected usage of AI applications to support long term operations.",-1,"Changing Technologies, Inc.","Washington, DC",Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1,-1
Machine Learning Scientist,$140K - $225K (Employer est.),"Strong Analytics is seeking Machine Learning Scientists to help design and develop machine-learning based solutions for clients ranging from startups to Fortune 500s. ML Scientists are core contributors at Strong, with responsibilities such as building data analysis pipelines, designing/training/validating machine learning models and algorithms, and collaborating with colleagues and clients on state-of-the-art research. The ideal candidate is proficient in Python and/or R, SQL, and has prior experience working on ML solutions from concept to production.

At Strong, your work will have an immediate impact on clients addressing real world challenges. Our work spans industries such as manufacturing, gaming, agriculture, automotive, and healthcare, among others. We pride ourselves not only in building the right solutions for our clients through research and development, but in implementing and scaling up those solutions through strong engineering. This role thus requires a deep expertise in applying data science and machine learning to real-world problems where data must be gathered, transformed, cleaned, and integrated into a larger architecture.",5.0,"Strong Analytics
5.0",Remote,1 to 50 Employees,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,-1
AI Optimization Engineer (i4),$140K - $225K (Employer est.),"Title: AI Optimization Engineer
Company: WebAI
Location: Austin, TX or Remote
Type: Full-Time, Salaried Exempt
Experience: 5+ years
Education: Bachelor's Degree, minimum

About the Company:",-1,Iris Technology Inc.,Remote,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1,-1
Senior Data Analyst,$140K - $225K (Employer est.),"A pioneer in K–12 education since 2000, Amplify is leading the way in next-generation curriculum and assessment. Our core and supplemental programs in ELA, math, and science engage all students in rigorous learning and inspire them to think deeply, creatively, and for themselves. Our formative assessment products help teachers identify the targeted instruction students need to build a strong foundation in early reading and math. All of our programs provide educators with powerful tools that help them understand and respond to the needs of every student. Today, Amplify serves more than 10 million students in all 50 states. For more information, visit amplify.com.
As a member of the engineering organization at Amplify, you will join a dedicated team taking on the most challenging problems in education with the best ideas in technology – including user experience, APIs and services, data analysis, and deployment pipelines. You’ll play an active role in inventing and improving product design and the classroom experience.
Amplify’s COVID-19 vaccination policy requires all staff to provide proof of vaccination for in-person meetings unless an approved exemption is provided.",4.2,"Amplify Education, Inc.
4.2",Remote,201 to 500 Employees,2000,Company - Private,Primary & Secondary Schools,Education,$100 to $500 million (USD),-1
